qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q01	lite	mask	0	2960	1	0	0	0		1
q02	lite	mask	0	4451	0	0	0	0		1
q03	lite	mask	0	2358	0	0	0	0		1
q04	lite	mask	0	3829	3	0	0	0		1
q05	lite	mask	0	2946	0	0	0	0		1
q06	lite	mask	0	3562	0	0	0	0		1
q07	lite	mask	0	2857	0	0	0	0		1
q08	lite	mask	0	3352	0	0	0	0		1
q09	lite	mask	0	3388	0	0	0	0		1
q10	lite	mask	0	3743	0	0	0	0		1
q11	lite	mask	0	3658	3	0	0	0		1
q12	lite	mask	0	2867	0	0	0	0		1
q13	lite	mask	0	2644	0	0	3	0		1
q14	lite	mask	0	3585	0	0	0	0		1
q15	lite	mask	0	2758	0	0	0	0		1
q16	lite	mask	0	2733	0	0	0	0		1
q17	lite	mask	0	3403	0	0	0	0		1
q18	lite	mask	0	3119	0	0	0	0		1
q19	lite	mask	0	3006	0	0	0	0		1
q20	lite	mask	0	2932	0	0	0	0		1
q21	lite	mask	0	3318	0	0	0	0		1
q22	lite	mask	0	2550	0	0	0	0		1
q23	lite	mask	0	3179	2	0	0	0		1
q24	lite	mask	0	3177	2	0	0	0		1
q25	lite	mask	0	2908	0	0	0	0		1
q26	lite	mask	0	2430	0	0	0	0		1
q27	lite	mask	0	2770	0	0	0	0		1
q28	lite	mask	0	3054	0	0	0	0		1
q29	lite	mask	0	2717	0	0	0	0		1
q30	lite	mask	0	3403	5	0	0	0		1
q31	lite	mask	0	2698	0	0	0	0		1
q32	lite	mask	0	3030	0	0	0	0		1
q33	lite	mask	0	3059	0	0	0	0		1
q34	lite	mask	0	2682	2	0	0	0		1
q35	lite	mask	0	3284	0	0	0	0		1
q36	lite	mask	0	3210	0	0	0	0		1
q37	lite	mask	0	2977	0	0	0	0		1
q38	lite	mask	0	3142	0	0	0	0		1
q39	lite	mask	0	2822	0	0	0	0		1
q40	lite	mask	0	3046	0	0	0	0		1
q41	lite	mask	0	3113	0	0	0	0		1
q42	lite	mask	0	2608	0	0	0	0		1
q43	lite	mask	0	3559	0	0	0	0		1
q44	lite	mask	0	3088	0	0	0	0		1
q45	lite	mask	0	2899	0	0	0	0		1
q46	lite	mask	0	2674	2	0	0	0		1
q47	lite	mask	0	3658	0	0	0	0		1
q48	lite	mask	0	2860	0	0	3	0		1
q49	lite	mask	0	3237	0	0	0	0		1
q50	lite	mask	0	3855	0	0	0	0		1
q51	lite	mask	0	2781	0	0	0	0		1
q52	lite	mask	0	3273	0	0	0	0		1
q53	lite	mask	0	3441	0	0	0	0		1
q54	lite	mask	0	3431	0	0	0	0		1
q55	lite	mask	0	2784	0	0	0	0		1
q56	lite	mask	0	3113	0	0	0	0		1
q57	lite	mask	0	3364	0	0	0	0		1
q58	lite	mask	0	2826	0	0	0	0		1
q59	lite	mask	0	3672	0	0	0	0		1
q60	lite	mask	0	2937	0	0	0	0		1
q61	lite	mask	0	2837	0	0	0	0		1
q62	lite	mask	0	2959	0	0	0	0		1
q63	lite	mask	0	2955	0	0	0	0		1
q64	lite	mask	0	3133	2	0	0	0		1
q65	lite	mask	0	2748	0	0	0	0		1
q66	lite	mask	0	3602	0	0	0	0		1
q67	lite	mask	0	2639	0	0	0	0		1
q68	lite	mask	0	2981	2	0	0	0		1
q69	lite	mask	0	2864	0	0	0	0		1
q70	lite	mask	0	3238	0	0	0	0		1
q71	lite	mask	0	2657	0	0	0	0		1
q72	lite	mask	0	3201	0	0	0	0		1
q73	lite	mask	0	2953	2	0	0	0		1
q74	lite	mask	0	3010	3	0	0	0		1
q75	lite	mask	0	3195	0	0	0	0		1
q76	lite	mask	0	3212	0	0	0	0		1
q77	lite	mask	0	3471	0	0	0	0		1
q78	lite	mask	0	3403	0	0	0	0		1
q79	lite	mask	0	3008	2	0	0	0		1
q80	lite	mask	0	3399	0	0	0	0		1
q81	lite	mask	0	2671	4	0	0	0		1
q82	lite	mask	0	2905	0	0	0	0		1
q83	lite	mask	0	3176	0	0	0	0		1
q84	lite	mask	0	2888	2	0	0	0		1
q85	lite	mask	0	3007	0	0	3	0		1
q86	lite	mask	0	2922	0	0	0	0		1
q87	lite	mask	0	2857	0	0	0	0		1
q88	lite	mask	0	3052	0	0	0	0		1
q89	lite	mask	0	2657	0	0	0	0		1
q90	lite	mask	0	3086	0	0	0	0		1
q91	lite	mask	0	2697	0	0	0	0		1
q92	lite	mask	0	3329	0	0	0	0		1
q93	lite	mask	0	2847	0	0	0	0		1
q94	lite	mask	0	2893	0	0	0	0		1
q95	lite	mask	0	2806	0	0	0	0		1
q96	lite	mask	0	2483	0	0	0	0		1
q97	lite	mask	0	2687	0	0	0	0		1
q98	lite	mask	0	2824	0	0	0	0		1
q99	lite	mask	0	3065	0	0	0	0		1
q01	lite	rowfilter	0	2922	0	1	0	1		1
q02	lite	rowfilter	0	4422	0	0	0	3		1
q03	lite	rowfilter	0	2922	0	0	0	1		1
q04	lite	rowfilter	0	3617	0	3	0	3		1
q05	lite	rowfilter	0	3092	0	0	0	3		1
q06	lite	rowfilter	0	3698	0	1	1	2		1
q07	lite	rowfilter	0	2594	0	0	0	1		1
q08	lite	rowfilter	0	3435	0	1	2	1		1
q09	lite	rowfilter	0	2915	0	0	0	0		1
q10	lite	rowfilter	0	3165	0	1	1	3		1
q11	lite	rowfilter	0	4015	0	2	0	2		1
q12	lite	rowfilter	0	3033	0	0	0	1		1
q13	lite	rowfilter	0	3038	0	0	4	1		1
q14	lite	rowfilter	0	4090	0	0	0	9		1
q15	lite	rowfilter	0	2710	0	1	1	1		1
q16	lite	rowfilter	0	2811	0	0	1	1		1
q17	lite	rowfilter	0	3207	0	0	0	3		1
q18	lite	rowfilter	0	2969	0	1	1	1		1
q19	lite	rowfilter	0	3043	0	1	1	1		1
q20	lite	rowfilter	0	2623	0	0	0	1		1
q21	lite	rowfilter	0	3466	0	0	0	1		1
q22	lite	rowfilter	0	2651	0	0	0	1		1
q23	lite	rowfilter	0	3083	0	4	0	4		1
q24	lite	rowfilter	0	2786	0	1	1	0		1
q25	lite	rowfilter	0	3089	0	0	0	3		1
q26	lite	rowfilter	0	2784	0	0	0	1		1
q27	lite	rowfilter	0	2951	0	0	0	1		1
q28	lite	rowfilter	0	3275	0	0	0	0		1
q29	lite	rowfilter	0	2780	0	0	0	3		1
q30	lite	rowfilter	0	3035	0	1	2	1		1
q31	lite	rowfilter	0	2899	0	0	2	2		1
q32	lite	rowfilter	0	2679	0	0	0	2		1
q33	lite	rowfilter	0	3301	0	0	3	3		1
q34	lite	rowfilter	0	2595	0	1	0	1		1
q35	lite	rowfilter	0	3531	0	1	1	3		1
q36	lite	rowfilter	0	3047	0	0	0	1		1
q37	lite	rowfilter	0	2910	0	0	0	1		1
q38	lite	rowfilter	0	3397	0	3	0	3		1
q39	lite	rowfilter	0	2886	0	0	0	1		1
q40	lite	rowfilter	0	3452	0	0	0	1		1
q41	lite	rowfilter	0	3169	0	0	0	0		1
q42	lite	rowfilter	0	3013	0	0	0	1		1
q43	lite	rowfilter	0	3411	0	0	0	1		1
q44	lite	rowfilter	0	3110	0	0	0	0		1
q45	lite	rowfilter	0	2840	0	1	1	1		1
q46	lite	rowfilter	0	4092	0	1	2	1		1
q47	lite	rowfilter	0	3364	0	0	0	1		1
q48	lite	rowfilter	0	3178	0	0	4	1		1
q49	lite	rowfilter	0	3361	0	0	0	3		1
q50	lite	rowfilter	0	3663	0	0	0	2		1
q51	lite	rowfilter	0	3214	0	0	0	2		1
q52	lite	rowfilter	0	2861	0	0	0	1		1
q53	lite	rowfilter	0	2894	0	0	0	1		1
q54	lite	rowfilter	0	3676	0	1	1	4		1
q55	lite	rowfilter	0	2529	0	0	0	1		1
q56	lite	rowfilter	0	2976	0	0	3	3		1
q57	lite	rowfilter	0	3312	0	0	0	1		1
q58	lite	rowfilter	0	3302	0	0	0	9		1
q59	lite	rowfilter	0	3538	0	0	0	3		1
q60	lite	rowfilter	0	2825	0	0	3	3		1
q61	lite	rowfilter	0	3130	0	2	2	2		1
q62	lite	rowfilter	0	3100	0	0	0	1		1
q63	lite	rowfilter	0	3078	0	0	0	1		1
q64	lite	rowfilter	0	3330	0	1	2	3		1
q65	lite	rowfilter	0	2608	0	0	0	2		1
q66	lite	rowfilter	0	3650	0	0	0	2		1
q67	lite	rowfilter	0	2793	0	0	0	1		1
q68	lite	rowfilter	0	3056	0	1	2	1		1
q69	lite	rowfilter	0	3170	0	1	1	3		1
q70	lite	rowfilter	0	3227	0	0	0	2		1
q71	lite	rowfilter	0	2664	0	0	0	3		1
q72	lite	rowfilter	0	2700	0	0	0	3		1
q73	lite	rowfilter	0	2993	0	1	0	1		1
q74	lite	rowfilter	0	3172	0	2	0	2		1
q75	lite	rowfilter	0	3501	0	0	0	3		1
q76	lite	rowfilter	0	3264	0	0	0	3		1
q77	lite	rowfilter	0	3459	0	0	0	6		1
q78	lite	rowfilter	0	3692	0	0	0	3		1
q79	lite	rowfilter	0	2830	0	1	0	1		1
q80	lite	rowfilter	0	3728	0	0	0	3		1
q81	lite	rowfilter	0	3001	0	1	2	1		1
q82	lite	rowfilter	0	3050	0	0	0	1		1
q83	lite	rowfilter	0	3065	0	0	0	9		1
q84	lite	rowfilter	0	3094	0	1	1	0		1
q85	lite	rowfilter	0	2944	0	0	4	1		1
q86	lite	rowfilter	0	2863	0	0	0	1		1
q87	lite	rowfilter	0	3302	0	3	0	3		1
q88	lite	rowfilter	0	3499	0	0	0	0		1
q89	lite	rowfilter	0	2683	0	0	0	1		1
q90	lite	rowfilter	0	3148	0	0	0	0		1
q91	lite	rowfilter	0	3021	0	1	1	1		1
q92	lite	rowfilter	0	3176	0	0	0	2		1
q93	lite	rowfilter	0	3033	0	0	0	0		1
q94	lite	rowfilter	0	2627	0	0	1	1		1
