#qid	ok	errcode	meanMs	p50Ms	minMs	maxMs	iterations
q01	true		25.221	24.139	15.807	58.906	20
q02	true		107.313	101.628	65.916	218.815	20
q03	true		16.192	15.390	9.272	28.116	20
q04	true		166.081	146.736	93.006	363.963	20
q05	false	VALIDATION_ERROR	45.720	41.487	25.889	110.052	20
q06	true		28.722	27.502	13.944	61.084	20
q07	true		20.189	20.442	9.688	31.092	20
q08	true		48.473	45.495	27.176	79.928	20
q09	false	LINEAGE_UNKNOWN	34.563	36.205	20.814	56.098	20
q10	true		57.694	48.254	29.207	136.865	20
q11	true		92.529	89.023	51.469	153.696	20
q12	true		26.113	25.976	14.810	46.601	20
q13	true		40.743	31.662	19.154	148.686	20
q14	true		139.476	123.383	81.829	365.401	20
q15	true		23.320	20.247	11.799	46.624	20
q16	true		34.776	21.454	11.206	200.902	20
q17	true		48.488	49.146	26.574	82.351	20
q18	true		41.513	41.387	20.756	96.487	20
q19	true		25.322	23.535	14.409	44.510	20
q20	true		25.753	24.421	14.861	53.277	20
q21	true		33.235	30.738	20.243	54.449	20
q22	true		18.497	18.946	10.716	33.103	20
q23	true		69.461	70.391	48.526	121.264	20
q24	true		41.615	41.088	21.963	84.220	20
q25	true		37.878	33.313	21.943	130.045	20
q26	true		19.649	19.453	10.020	30.424	20
q27	true		41.973	38.873	24.504	81.013	20
q28	true		34.148	34.028	20.070	60.623	20
q29	true		31.944	31.659	20.722	42.280	20
q30	true		47.599	43.670	29.641	111.147	20
q31	true		60.755	55.593	29.875	104.700	20
q32	true		20.107	19.335	11.778	27.828	20
q33	true		40.630	40.044	22.986	71.844	20
q34	true		28.904	26.617	14.907	79.473	20
q35	true		59.326	57.882	30.674	122.157	20
q36	true		57.550	47.265	30.727	232.689	20
q37	true		20.981	19.642	12.246	32.886	20
q38	true		34.209	32.993	16.691	71.208	20
q39	true		33.256	32.422	18.255	54.637	20
q40	true		34.100	32.051	19.087	85.391	20
q41	true		36.315	35.801	20.513	58.988	20
q42	true		15.597	15.441	8.650	28.969	20
q43	true		85.252	78.965	46.945	205.563	20
q44	true		27.200	25.047	13.055	48.966	20
q45	true		28.469	24.464	13.898	63.965	20
q46	true		28.054	29.033	17.183	38.661	20
q47	true		53.112	53.969	30.873	73.871	20
q48	true		25.943	26.017	15.734	40.460	20
q49	true		76.411	76.358	44.634	123.706	20
q50	true		76.100	78.002	40.435	138.733	20
q51	true		32.421	30.448	18.421	54.792	20
q52	true		15.339	15.110	8.455	28.332	20
q53	true		25.954	25.793	14.392	58.960	20
q54	true		39.498	38.323	20.861	68.168	20
q55	true		15.217	15.817	9.845	19.883	20
q56	true		43.585	40.493	21.761	128.650	20
q57	true		60.154	53.587	28.064	160.589	20
q58	true		59.714	54.749	27.910	118.821	20
q59	true		117.827	109.650	67.963	255.930	20
q60	true		39.971	38.988	21.192	71.292	20
q61	true		35.263	36.307	18.080	83.673	20
q62	true		41.630	39.800	18.835	135.251	20
q63	true		26.699	24.725	11.777	92.516	20
q64	true		73.716	74.863	38.702	114.000	20
q65	true		23.748	25.116	14.370	31.806	20
q66	true		160.795	168.317	88.832	216.315	20
q67	true		23.001	23.857	12.728	31.290	20
q68	true		28.426	27.712	16.539	47.912	20
q69	true		40.706	40.656	19.110	64.484	20
q70	true		29.360	27.468	16.009	59.773	20
q71	true		27.925	28.131	16.398	53.896	20
q72	false	VALIDATION_ERROR	32.862	26.632	15.460	84.462	20
q73	true		23.748	22.390	13.318	51.556	20
q74	true		73.007	66.850	41.715	167.974	20
q75	true		81.283	82.091	34.637	140.501	20
q76	true		66.548	55.975	23.581	183.793	20
q77	true		78.701	75.205	28.474	197.785	20
q78	true		84.129	83.100	32.508	154.543	20
q79	true		26.843	24.315	10.958	48.565	20
q80	false	VALIDATION_ERROR	49.167	47.139	19.926	103.789	20
q81	true		31.408	30.462	12.735	59.939	20
q82	true		16.651	17.133	7.193	27.244	20
q83	true		54.596	52.688	22.550	99.661	20
q84	true		30.036	27.820	12.177	90.535	20
q85	true		33.800	30.302	15.090	96.313	20
q86	true		33.949	30.701	13.452	63.171	20
q87	true		40.440	36.136	15.169	120.296	20
q88	true		69.399	59.220	23.808	234.908	20
q89	true		32.559	31.850	11.812	77.711	20
q90	true		22.572	22.017	11.271	59.798	20
q91	true		25.589	24.948	11.784	58.454	20
q92	true		25.361	19.594	10.633	72.210	20
q93	true		27.112	19.040	8.821	130.236	20
q94	true		26.930	22.871	9.820	98.882	20
q95	true		28.640	22.971	9.180	82.140	20
q96	true		17.534	14.142	5.635	78.605	20
q97	true		32.018	28.535	10.267	66.228	20
q98	true		27.547	24.936	9.994	67.866	20
q99	true		48.567	43.330	17.853	116.610	20
