#qid	ok	errcode	meanMs	p50Ms	minMs	maxMs	iterations
q01	true		27.026	24.369	13.612	60.769	20
q02	true		115.826	112.052	77.152	219.297	20
q03	true		19.098	15.620	10.623	53.292	20
q04	true		164.953	167.668	85.075	257.744	20
q05	false	VALIDATION_ERROR	43.835	40.793	22.144	87.556	20
q06	true		25.495	25.608	13.574	40.116	20
q07	true		25.949	22.212	12.193	72.646	20
q08	true		46.540	42.398	22.952	110.026	20
q09	false	LINEAGE_UNKNOWN	34.652	35.559	20.373	52.419	20
q10	true		50.669	47.873	24.998	94.781	20
q11	true		83.059	79.598	45.782	166.665	20
q12	true		24.038	23.712	14.093	38.920	20
q13	true		29.623	27.602	17.060	56.935	20
q14	true		122.118	117.300	61.406	235.120	20
q15	true		19.988	18.883	11.365	33.003	20
q16	true		25.217	25.147	14.337	53.467	20
q17	true		51.155	46.121	26.065	112.151	20
q18	true		40.790	36.738	20.646	107.662	20
q19	true		24.632	24.361	14.260	36.742	20
q20	true		24.902	26.855	13.634	40.702	20
q21	true		33.620	32.716	17.350	65.736	20
q22	true		19.151	19.060	8.815	40.460	20
q23	true		63.016	65.609	38.276	91.602	20
q24	true		39.989	37.574	23.643	70.352	20
q25	true		33.920	33.546	17.675	61.659	20
q26	true		18.780	19.289	9.434	26.251	20
q27	true		37.920	38.921	18.861	57.051	20
q28	true		33.759	33.249	19.613	66.949	20
q29	true		31.115	31.518	16.350	56.955	20
q30	true		43.570	43.350	23.415	73.845	20
q31	true		51.288	53.294	29.403	85.000	20
q32	true		18.388	18.045	10.695	25.940	20
q33	true		39.278	38.647	23.951	71.871	20
q34	true		30.080	26.714	15.645	63.677	20
q35	true		51.252	51.702	31.991	69.028	20
q36	true		46.164	38.770	28.245	110.189	20
q37	true		16.430	16.583	9.187	27.545	20
q38	true		32.575	32.314	15.734	52.025	20
q39	true		31.130	29.246	21.388	55.392	20
q40	true		35.126	32.250	16.243	108.572	20
q41	true		39.481	33.073	21.478	109.080	20
q42	true		17.034	16.255	7.967	33.160	20
q43	true		83.222	81.171	49.474	220.963	20
q44	true		25.899	23.169	13.202	39.281	20
q45	true		25.416	23.875	12.963	56.031	20
q46	true		28.070	30.082	15.113	39.948	20
q47	true		51.275	50.783	30.930	78.042	20
q48	true		25.340	23.696	15.444	45.207	20
q49	true		75.584	72.783	52.026	126.270	20
q50	true		76.646	74.346	45.744	171.248	20
q51	true		38.099	33.309	21.203	84.852	20
q52	true		17.467	15.025	7.547	65.836	20
q53	true		26.454	23.869	15.805	58.845	20
q54	true		42.292	40.337	25.007	80.718	20
q55	true		18.626	16.848	8.896	63.947	20
q56	true		39.908	38.387	21.411	85.376	20
q57	true		50.435	48.084	27.349	93.363	20
q58	true		48.766	49.807	32.770	72.729	20
q59	true		105.471	104.155	72.144	162.960	20
q60	true		34.376	33.121	24.415	47.863	20
q61	true		33.403	33.575	21.037	52.336	20
q62	true		40.642	40.226	24.643	70.229	20
q63	true		23.879	22.473	15.273	50.768	20
q64	true		71.262	72.666	47.567	107.661	20
q65	true		23.411	23.882	13.665	40.955	20
q66	true		164.555	165.353	101.923	309.051	20
q67	true		26.643	24.832	15.908	54.675	20
q68	true		27.814	27.601	19.567	43.744	20
q69	true		44.844	38.735	22.625	121.134	20
q70	true		32.336	30.196	18.555	58.331	20
q71	true		32.281	28.369	14.753	76.735	20
q72	false	VALIDATION_ERROR	30.479	27.695	15.468	91.350	20
q73	true		24.815	24.380	16.383	42.256	20
q74	true		90.748	75.452	52.279	306.087	20
q75	true		99.393	86.670	52.760	275.893	20
q76	true		58.774	54.679	31.537	97.638	20
q77	true		89.580	79.456	46.542	199.510	20
q78	true		95.926	87.236	38.563	341.617	20
q79	true		28.787	24.051	12.160	93.126	20
q80	false	VALIDATION_ERROR	53.901	50.487	25.740	168.035	20
q81	true		44.219	32.522	18.767	213.328	20
q82	true		20.757	17.440	10.572	66.779	20
q83	true		63.540	56.174	28.238	175.105	20
q84	true		32.074	29.487	17.913	76.423	20
q85	true		35.423	31.868	16.682	61.302	20
q86	true		32.699	28.462	17.494	68.853	20
q87	true		34.749	33.933	21.455	53.298	20
q88	true		62.440	56.543	33.208	127.168	20
q89	true		29.638	28.012	21.165	53.654	20
q90	true		20.621	19.188	11.481	57.221	20
q91	true		29.024	26.592	15.319	68.298	20
q92	true		22.295	20.251	10.910	46.035	20
q93	true		21.925	18.173	9.601	98.626	20
q94	true		25.428	24.731	12.943	54.095	20
q95	true		27.582	23.770	12.942	74.265	20
q96	true		16.830	14.468	6.721	57.685	20
q97	true		29.065	27.060	14.881	73.407	20
q98	true		27.035	24.656	14.576	84.288	20
q99	true		46.498	42.049	24.804	95.596	20
